name,常住人口2010,订单数,包邮率,城市简称,省,城市等级,lng,lat,区域
石嘴山市,725482,45367,0.9362311812550972,石嘴山市,宁夏回族自治区,三线及以下,106.5171069,39.00759401,西北
银川市,1993088,282995,0.9276135620770684,银川市,宁夏回族自治区,三线及以下,106.3554898,38.22707681,西北
亳州市,4850657,211988,0.979885653904938,亳州市,安徽省,三线及以下,116.1829426,33.43441311,华东
六安市,5611701,255091,0.9773571000152886,六安市,安徽省,三线及以下,116.3139815,31.75515523,华东
合肥市,5702466,1281353,0.9736536301862172,合肥市,安徽省,三线及以下,117.2479076,31.99500815,华东
安庆市,5311379,262549,0.9784154576859938,安庆市,安徽省,三线及以下,116.5944505,30.6092329,华东
宣城市,2532938,167401,0.9747014653436956,宣城市,安徽省,三线及以下,118.8521992,30.68525049,华东
宿州市,5352924,232441,0.9787860145155116,宿州市,安徽省,三线及以下,117.2138179,33.8580475,华东
池州市,1402518,90134,0.9759358288770054,池州市,安徽省,三线及以下,117.3638539,30.28262131,华东
淮北市,2114276,132308,0.9765244731988996,淮北市,安徽省,三线及以下,116.7428891,33.72666728,华东
淮南市,2333896,213885,0.9758047548916474,淮南市,安徽省,三线及以下,116.7350941,32.75636334,华东
滁州市,3937868,251302,0.9787188323212708,滁州市,安徽省,三线及以下,118.1026584,32.54413339,华东
芜湖市,2263123,355575,0.9756338325247838,芜湖市,安徽省,三线及以下,118.3302847,31.07383196,华东
蚌埠市,3164467,229624,0.9775415461798418,蚌埠市,安徽省,三线及以下,117.3257471,33.10860664,华东
铜陵市,723958,99104,0.970919438165967,铜陵市,安徽省,三线及以下,117.8741142,30.92724055,华东
阜阳市,7599913,402652,0.9795182937126851,阜阳市,安徽省,三线及以下,115.7047583,32.91701003,华东
马鞍山市,1366302,196386,0.9735469941849216,马鞍山市,安徽省,三线及以下,118.6193045,31.53347863,华东
黄山市,1358980,108876,0.9689555090194351,黄山市,安徽省,三线及以下,118.0713362,29.90680843,华东
东营市,2035338,238981,0.9692360480540294,东营市,山东省,三线及以下,118.5956195,37.61083827,华东
临沂市,10039440,708148,0.9777151104006508,临沂市,山东省,三线及以下,118.2807116,35.30794564,华东
威海市,2804771,356763,0.9725419956665908,威海市,山东省,三线及以下,121.9781849,37.11987896,华东
德州市,5568235,341078,0.9761432868727974,德州市,山东省,三线及以下,116.6442272,37.24634775,华东
日照市,2801013,239192,0.9769557510284624,日照市,山东省,三线及以下,119.1319212,35.58560256,华东
枣庄市,3729140,264343,0.9781306862674632,枣庄市,山东省,三线及以下,117.3930074,34.91541396,华东
泰安市,5494207,399374,0.9757670754731156,泰安市,山东省,三线及以下,117.0266052,36.00151571,华东
济南市,6813984,1324606,0.9717583945716688,济南市,山东省,三线及以下,117.0876808,36.73761133,华东
济宁市,8081905,578594,0.9770166991016151,济宁市,山东省,三线及以下,116.732557,35.37502122,华东
淄博市,4530597,425238,0.9715571044920728,淄博市,山东省,三线及以下,118.0546836,36.60824771,华东
滨州市,3748474,267228,0.9754591584714176,滨州市,山东省,三线及以下,117.8270029,37.49984639,华东
潍坊市,9086241,811872,0.9744516376965828,潍坊市,山东省,三线及以下,119.0719382,36.53989565,华东
烟台市,6968202,789864,0.9739018362654835,烟台市,山东省,三线及以下,120.8058482,37.23512186,华东
聊城市,5789863,387735,0.9786271551446221,聊城市,山东省,三线及以下,115.8790293,36.45605814,华东
莱芜市,1298529,84461,0.9744497460366324,莱芜市,山东省,三线及以下,117.6613222,36.27344462,华东
菏泽市,8287693,456197,0.9802278401655424,菏泽市,山东省,三线及以下,115.6919452,35.15140822,华东
青岛市,8715087,1499189,0.9676865291834452,青岛市,山东省,二线,120.1476135,36.4548582,华东
临汾市,4316610,304014,0.9790601748603682,临汾市,山西省,三线及以下,111.377891,36.22611675,华北
吕梁市,3727068,248544,0.9802892043259946,吕梁市,山西省,三线及以下,111.2618363,37.6761215,华北
大同市,3318054,335666,0.9746742297402776,大同市,山西省,三线及以下,113.7229247,39.89899391,华北
太原市,4201592,948679,0.9721992370443532,太原市,山西省,三线及以下,112.3149516,37.95930246,华北
忻州市,3067503,243901,0.981668791845872,忻州市,山西省,三线及以下,112.4060364,38.88342609,华北
晋中市,3249425,343649,0.9790891287330968,晋中市,山西省,三线及以下,112.9581588,37.32698633,华北
晋城市,2279146,184867,0.9782384092347473,晋城市,山西省,三线及以下,112.7061753,35.61060579999999,华北
朔州市,1714857,142987,0.9820193444159259,朔州市,山西省,三线及以下,112.6408073,39.6173317,华北
运城市,5134779,317931,0.9776335116739168,运城市,山西省,三线及以下,111.0614515,35.18644206,华北
长治市,3334565,241167,0.9777166859479116,长治市,山西省,三线及以下,112.9171215,36.47523256,华北
阳泉市,1368502,133258,0.9790106410121718,阳泉市,山西省,三线及以下,113.4979246,38.06342104,华北
东莞市,8220207,1894684,0.9690291362570222,东莞市,广东省,二线,113.8826309,22.93782063,华南
中山市,3121275,705794,0.9703553728141641,中山市,广东省,三线及以下,113.3770082,22.52087327,华南
云浮市,2367154,132373,0.9743754391001186,云浮市,广东省,三线及以下,111.7944766,22.81590148,华南
佛山市,7197394,1270019,0.9694264416516604,佛山市,广东省,三线及以下,112.9458228,23.00680034,华南
广州市,12701948,3819075,0.9659325883885496,广州市,广东省,一线,113.5319653,23.3606149,华南
惠州市,4598402,794066,0.9737654048907772,惠州市,广东省,三线及以下,114.4989208,23.24277907,华南
揭阳市,5884347,421557,0.9776874776127548,揭阳市,广东省,三线及以下,116.1179165,23.33617115,华南
梅州市,4238461,266358,0.9760322573378686,梅州市,广东省,三线及以下,116.0796756,24.20281097,华南
汕头市,5389328,599195,0.9759744323634209,汕头市,广东省,三线及以下,116.5816626,23.33381796,华南
汕尾市,2935469,198458,0.9771689727801348,汕尾市,广东省,三线及以下,115.5334871,23.01525066,华南
江门市,4450703,436611,0.9721834768249082,江门市,广东省,三线及以下,112.6685228,22.28538094,华南
河源市,2950195,201809,0.9759029577471768,河源市,广东省,三线及以下,114.9577855,24.04386422,华南
深圳市,10358381,3665388,0.9645470002084364,深圳市,广东省,一线,114.1262885,22.65538519,华南
清远市,3698412,265220,0.9740592715481488,清远市,广东省,三线及以下,112.8775328,24.31301205,华南
湛江市,6994832,399565,0.975493349017056,湛江市,广东省,三线及以下,110.1544892,21.09635897,华南
潮州市,2669466,248120,0.976559729163308,潮州市,广东省,三线及以下,116.7716083,23.79817804,华南
珠海市,1562530,510020,0.9653915532724208,珠海市,广东省,三线及以下,113.3624458,22.18169688,华南
肇庆市,3916467,282980,0.9731005724786204,肇庆市,广东省,三线及以下,112.2052729,23.53893482,华南
茂名市,5817494,288816,0.9730243476815688,茂名市,广东省,三线及以下,110.9491438,22.01466985,华南
阳江市,2421748,164871,0.972839371387327,阳江市,广东省,三线及以下,111.7713339,22.04011969,华南
韶关市,2826246,216356,0.974306236018414,韶关市,广东省,三线及以下,113.772887,24.81895611,华南
北海市,1539251,159027,0.9700553993975866,北海市,广西壮族自治区,三线及以下,109.3368991,21.66027996,华南
南宁市,6658742,976461,0.9677877559882064,南宁市,广西壮族自治区,三线及以下,108.4632063,23.05716741,华南
崇左市,1994285,113931,0.9661988396485592,崇左市,广西壮族自治区,三线及以下,107.2728101,22.50273226,华南
来宾市,2099711,92648,0.9734586823244972,来宾市,广西壮族自治区,三线及以下,109.4113317,23.85475831,华南
